Close/Last,Volume,Open,High,Low,daily_returns,rolling_volatility
187.68,69668820,188.15,189.25,185.84,0.00984665052461664,0.015512531734942747
189.3,43490760,186.86,189.31,186.77,0.008631713554987153,0.013632744589152373
189.41,53438960,190.64,191.05,188.61,0.0005810882197569978,0.007636125817631088
188.32,40962050,189.39,189.54,187.35,-0.005754712000422435,0.0074439882984369266
188.85,45155220,188.65,189.99,188.0,0.0028143585386575243,0.006341784521984337
187.15,41781930,188.42,188.67,186.79,-0.009001853322742837,0.006989722804037655
185.04,56529530,185.77,186.21,183.51,-0.011274378840502308,0.006063143174908835
184.15,54630520,185.32,185.53,182.44,-0.00480977086035439,0.005367049232013943
183.86,65434500,183.55,184.49,181.35,-0.0015748031496062298,0.00565572460430901
182.31,49752470,183.42,184.85,181.67,-0.008430327423039286,0.0038259564561762068
181.56,53665550,181.79,182.43,180.0,-0.004113871976304084,0.0038168639240997696
182.32,41529670,181.94,182.89,180.66,0.004185944040537404,0.004681350973207523
184.37,52292210,183.48,184.96,182.46,0.011243966652040527,0.007649829828296777
182.52,45119680,185.01,185.04,182.23,-0.010034170418180777,0.008977858306532268
181.16,40867420,182.24,182.76,180.65,-0.007451238220469114,0.00879582512007252
182.63,54318850,181.1,183.92,179.56,0.008114374034003058,0.009469101206766153
181.42,48953940,182.51,183.12,180.13,-0.006625417510814247,0.00984700858905625
180.75,136682600,181.27,182.57,179.53,-0.0036930878624186203,0.007107180369299678
179.66,73563080,179.55,180.53,177.38,-0.006030428769018048,0.006443141497561763
175.1,81510100,176.15,176.9,173.79,-0.025381275743070253,0.01202027939154577
170.12,95132360,170.76,172.04,169.62,-0.02844089091947455,0.011855356208252654
169.12,68587710,171.06,171.24,168.68,-0.005878203620973466,0.01197618957213135
169.0,71765060,169.15,170.73,168.49,-0.0007095553453169146,0.012665426501628932
170.73,76267040,169.0,173.7,168.94,0.010236686390532546,0.016503553726108875
172.75,60139470,172.94,174.38,172.05,0.01183154688689747,0.0162413191671259
173.23,59825370,173.15,174.03,171.01,0.002778581765557009,0.007430913259118476
171.13,52488690,172.77,173.19,170.76,-0.01212261155688965,0.00963180398965867
173.0,72913510,172.91,174.31,172.05,0.010927365160988689,0.010086890589400275
172.62,121752700,171.17,172.62,170.29,-0.0021965317919074856,0.0099212589066221
173.72,75604180,175.57,177.71,173.52,0.006372378635152387,0.008844261732601718
176.08,55215240,174.34,176.61,173.03,0.01358507943817644,0.01050555823161129
178.67,53423100,175.72,178.67,175.09,0.014709223080417777,0.006875428066009061
171.37,106181300,177.05,177.49,170.84,-0.04085744668942737,0.022921655628688815
172.28,71160140,171.76,173.05,170.06,0.005310147633774909,0.023124101910857394
170.85,54288330,170.57,171.94,169.45,-0.008300441142326531,0.023016079614428715
169.71,57388450,170.0,171.42,169.58,-0.00667251975417027,0.021040577654633862
173.31,60273270,170.41,173.6,170.11,0.02121265688527485,0.02285354542257188
171.48,65672690,171.75,172.23,170.51,-0.010559113726847924,0.013256063674816689
170.03,46240500,171.19,171.25,169.48,-0.008455796594354914,0.013358057621274576
168.84,49329480,169.08,169.34,168.23,-0.0069987649238369976,0.013230164453178244
169.65,47691720,168.79,170.68,168.58,0.00479744136460547,0.013275638802153798
168.82,53704390,170.29,171.92,168.82,-0.004892425582080806,0.005970698056715572
169.58,42104830,169.59,170.39,168.95,0.004501836275322857,0.006389261131246967
169.67,37425510,169.03,169.2,168.24,0.0005307229626134724,0.005376627152115788
169.67,42451210,168.7,170.08,168.35,0.0,0.003956751793433713
167.78,49709340,168.8,169.09,167.11,-0.011139270348323183,0.006007727671220342
175.04,91070280,168.34,175.46,168.16,0.04327095005364168,0.02086127110163946
176.55,101670900,174.26,178.36,174.21,0.008626599634369292,0.020797848496471087
172.69,73531770,175.36,176.63,172.5,-0.02186349476069105,0.02488717797372237
169.38,73711240,171.75,173.76,168.27,-0.01916729399502004,0.027001200869847593
168.0,50901210,169.61,170.65,168.0,-0.008147360963513983,0.026725883359912123
167.04,43122900,168.03,168.64,166.55,-0.005714285714285783,0.012152600780796566
165.0,68149380,166.21,166.4,164.08,-0.012212643678160884,0.0069455102625648225
165.84,48116440,165.52,167.26,164.77,0.005090909090909035,0.0089312427354695
166.9,49537760,165.35,167.05,164.92,0.006391702846116676,0.00825180317162036
169.02,48251840,166.54,169.3,166.21,0.012702216896345098,0.010026053566563931
169.89,50558330,169.53,170.61,168.15,0.0051473198438052314,0.00928904747039034
169.3,44838350,169.88,171.34,169.18,-0.003472835364058957,0.005764811461831736
173.5,68169420,173.37,176.03,173.1,0.024808033077377445,0.01049704534832065
170.33,65934780,173.33,174.99,170.0,-0.0182708933717578,0.016291777842935718
169.3,50383150,169.58,172.71,169.11,-0.006047085070157943,0.015995700428085173
173.03,94214920,172.51,173.42,170.89,0.022031896042528087,0.018779793379201996
183.38,163224100,186.65,187.0,182.66,0.05981621684101013,0.03038626647820636
